   1   0   0   2   1  44  57 105 123   1 376
   2   0   1   2   1  48  59 153 123   1 345
   3   0   1   1   0  41  49 123 119   1 399
   4   0   0   1   0  43  50 107 115   1 331
   5   0   0   1   0  47  56 119 999 999 351
   6   0   1   1   0  39  56 114 112   1 364
   7   0   0 999 999  61  40 115 108   1 364
   8   0   1   1   0  57  54 129 106   1 319
   9   0   0   2   1  62  61  99 104   1 999
  10   0   1   2   1  51  53 118 999 999 264
  11   0   0   2   1  37  38 124 104   1 350
  12   0   1   1   0  50  56 103 104   1 332
  13   0   0   2   1  49  57 105 102   1 317
  14   0   0   2   1  46  39  95 102   1 100
  15   0 999   2   1  62  61 120 100   1 289
  16   0   1   1   0  60  51 112 100   1 259
  17   0   1   1   0  45  51 111  99   1 318
  18   0   1   1   0  23  39  90  98   1 297
  19   0   0   1   0 999  58 101 999 999 310
  20   0   1   1   0  45  68 999  97   1 335
  21   0   1   1   0  53  60 112  94   1 305
  22   0 999   1   0  33  46  70  94   1 266
  23   0   0   3   1  40  31  71  93   1 245
  24   0   0   1   0  56  54  99  93   1 999
  25   0 999   1   0  42  46  91  93   1 325
  26   0 999   1   0  54  69 999  93   1 300
  27   0   0   1   0  45  65  82  92   1 238
  28   0   1   1   0  37  39  88  92   1 326
  29   0   1   1   0  76  55 999  92   1 284
  30   0   0   1   0  63  64  86 999 999 338
  31   0   1   1   0  50  51  97  92   1 254
  32   0   1   2   1  42  51  87  90   1 306
  33   0   0   2   1  37  40  99  89   0 999
  34   0   0   2   1  25  32  67  89   0 260
  35   0   1   2   1  39  45  90  88   0 258
  36   0   0   1   0  53  46 103  88   0 304
  37   0   1   2   1  49  55 999  87   0 215
  38   0   1   2   1  40  38  91  87   0 335
  39   0   1   1   0  71  61  77  87   0 207
  40   0   1   1   0  56  53  97  86   0 251
  41   0   0   2   1  44  47  83  85   0 999
  42   0   1   2   1  70  76 102 999 999 188
  43   0   0   2   1  39  45  74  84   0 269
  44   0   1   1   0  58  73  85  84   0 260
  45   0   0   2   1  31  45  83  84   0 213
  46   0   0   3   1  73  63  65 999 999 999
  47   0   1   1   0  63  59  89  83   0 205
  48   0   0   3   1  45  45  69  82   0 250
  49   0   0   3   1  39  48  68  82   0 999
  50   0   0   3   1  50  49  67  81   0 242
  51   0   0   3   1  37  47  74  81   0 258
