Asset Class,Expected Return
Commodity,0.062
Emerging Markets Equities,0.098
Emerging Markets Fixed Income,0.063
REAL ESTATE,0.083
REITs,0.08
PRIVATE DEBT,0.077
Global Macro,0.083
Hedged Equity,0.083
Long/Short Credit,0.083
Event Driven,0.083
Non-US Developed Equities,0.088
MultiStratPE,0.1065
US Equities,0.083
US Fixed Income,0.045
MultiStratHF,0.083
Fund of Funds,0.083
Private Real Asset,0.083
Buyout and Growth,0.083
Secondaries,0.1065
