date,name,value
2004-06-30,Alt Commodities,-4.259291600000004
2004-07-31,Alt Commodities,1.6504854999999985
2004-08-31,Alt Commodities,-1.957916999999998
2004-09-30,Alt Commodities,6.696611000000008
2004-10-31,Alt Commodities,1.5489061000000026
2004-11-30,Alt Commodities,-1.377879500000001
2004-12-31,Alt Commodities,-5.089036999999996
2005-01-31,Alt Commodities,0.8307133299999991
2005-02-28,Alt Commodities,6.852371699999993
2005-03-31,Alt Commodities,3.311460300000002
2005-04-30,Alt Commodities,-6.047403299999998
2005-05-31,Alt Commodities,-1.0359005999999948
2005-06-30,Alt Commodities,1.4273804000000112
2005-07-31,Alt Commodities,4.211323999999994
2005-08-31,Alt Commodities,7.207008000000004
2005-09-30,Alt Commodities,4.345563400000008
2005-10-31,Alt Commodities,-6.586395
2005-11-30,Alt Commodities,-0.07340773999999772
2005-12-31,Alt Commodities,2.848794999999993
2006-01-31,Alt Commodities,1.4687767999999934
2006-02-28,Alt Commodities,-6.586493000000004
2006-03-31,Alt Commodities,1.821416599999992
2006-04-30,Alt Commodities,6.3991775999999945
2006-05-31,Alt Commodities,0.5160752499999921
2006-06-30,Alt Commodities,-1.9550798000000036
2006-07-31,Alt Commodities,2.7644513000000037
2006-08-31,Alt Commodities,-4.023944000000002
2006-09-30,Alt Commodities,-6.393163000000001
2006-10-31,Alt Commodities,4.285323600000002
2006-11-30,Alt Commodities,5.02977280000001
2006-12-31,Alt Commodities,-4.974745800000003
2007-01-31,Alt Commodities,-0.2496956899999958
2007-02-28,Alt Commodities,2.9611838000000112
2007-03-31,Alt Commodities,0.5517242999999894
2007-04-30,Alt Commodities,0.7248090500000082
2007-05-31,Alt Commodities,-0.28806167999999577
2007-06-30,Alt Commodities,-1.7702124000000041
2007-07-31,Alt Commodities,1.628882900000006
2007-08-31,Alt Commodities,-3.996411600000005
2007-09-30,Alt Commodities,7.656410700000005
2007-10-31,Alt Commodities,2.9568679999999903
2007-11-30,Alt Commodities,-3.4208329000000037
2007-12-31,Alt Commodities,4.350164400000001
2008-01-31,Alt Commodities,3.956125499999996
2008-02-29,Alt Commodities,12.07809099999999
2008-03-31,Alt Commodities,-6.461182600000004
2008-04-30,Alt Commodities,3.4467585000000023
2008-05-31,Alt Commodities,2.5851078000000083
2008-06-30,Alt Commodities,8.917083999999997
2008-07-31,Alt Commodities,-11.988419000000006
2008-08-31,Alt Commodities,-7.422571
2008-09-30,Alt Commodities,-11.647295000000002
2008-10-31,Alt Commodities,-21.341728000000003
2008-11-30,Alt Commodities,-6.989793300000002
2008-12-31,Alt Commodities,-4.49001
2009-01-31,Alt Commodities,-5.386126999999997
