name,date,value,in counts,master version,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",9/30/12,2.0800023,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",10/31/12,0.07000187,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",11/30/12,0.79999685,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",12/31/12,0.25000164,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",1/31/13,1.3499994,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",2/28/13,0.059997946,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",3/31/13,0.73999876,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",4/30/13,1.7700038,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",5/31/13,-0.38999993,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",6/30/13,-2.8600032,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",7/31/13,-1.0299999,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",8/31/13,-1.3599966,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",9/30/13,1.6599978,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",10/31/13,1.1500032,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",11/30/13,-0.010005078,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",12/31/13,-0.6499992,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",1/31/14,3.8699992,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",2/28/14,0.5200038,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",3/31/14,-0.22999987,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",4/30/14,0.89999527,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",5/31/14,2.2700021,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",6/30/14,0.8400015,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",7/31/14,0.15000221,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",8/31/14,2.0099971,valid,.,,,,,,,,,,,,,,,
