,US Equities,Non-US Developed Equities,Emerging Markets Equities,US Fixed Income,Non-US Developed Fixed Income,Emerging Markets Fixed Income,Commodity,REITs,Cash,Private Equity,Private Credit,Private Real Estate,Hedge Funds
1992-02-29,,,,0.666224232,,,,,,,,,
1992-03-31,,,,-0.981121662,,,,,,,,,
1992-04-30,,,,0.505485817,,,,,,,,,
1992-05-31,,,,2.291130036,,,,,,,,,
1992-06-30,,,,1.886390837,,,,,,,,,
1992-07-31,,,,3.412024865,,,,,,,,,
1992-08-31,,,,0.982191525,,,,,,,,,
1992-09-30,,,,1.993120662,,,,,,,,,
1992-10-31,,,,-1.958427706,,,,,,,,,
1992-11-30,,,,-0.506488469,,,,,,,,,
1992-12-31,,,,2.162419542,,,,,,,,,
1993-01-31,,,,2.719575148,,,,,,,,,
1993-02-28,1.069640313,,,2.469784123,,,,,,,,,
1993-03-31,2.237403385,,,0.457706071,,,,,,,,,
1993-04-30,-2.566937082,,,0.851621672,,,,,,,,,
1993-05-31,2.702700649,,,-0.118406561,,,,,,,,,
1993-06-30,0.352393357,,,3.007692475,,,,,,,,,
1993-07-31,-0.488237309,,,0.319362291,,,,,,,,,
1993-08-31,3.835861805,,,2.534280778,,,,,,,,,
1993-09-30,-0.716468986,,,0.751595165,,,,,,,,,
1993-10-31,1.959077808,,,0.283093435,,,,,,,,,
1993-11-30,-1.067461635,,,-1.672677057,,,,,,,,,
1993-12-31,1.228178092,,,0.513991295,,,,,,,,,
1994-01-31,3.498605359,,,1.591263908,,,,,,,,,
1994-02-28,-2.924098493,,,-2.925563404,,,,,,,,,
1994-03-31,-4.192734033,,,-3.424991688,,,,,,,,,
1994-04-30,1.121326556,,,-0.871757832,,,,,,,,,
1994-05-31,1.596805605,,,-0.10942628,,,,,,,,,
1994-06-30,-2.217489292,,,-0.557689502,,,,,,,,,
1994-07-31,3.101123807,,,2.239051811,,,,,,,,,
1994-08-31,3.814296241,,,0.193413626,,,,,,,,,
1994-09-30,-2.559721857,,,-2.104061649,,,,,,,,,
1994-10-31,2.969868721,,,-0.423899932,,,,,,,,,
1994-11-30,-3.936845185,,,-0.169261303,,,,,,,,,
1994-12-31,0.796906309,,,0.810201096,,,,,,,,,
1995-01-31,3.287311253,,,2.174262702,,,,,,,,,
1995-02-28,3.967751216,,,2.936398006,,,,,,,,,
1995-03-31,2.866342156,,,0.567251982,,,,,,,,,
1995-04-30,2.992220407,,,1.730835029,,,,,,,,,
1995-05-31,3.873715978,,,5.276387012,,,,,,,,,
1995-06-30,1.994287049,,,0.970224233,,,,,,,,,
1995-07-31,3.218097494,,,-0.777097334,,,,,,,,,
1995-08-31,0.445393277,,,1.392137818,,,,,,,,,
1995-09-30,4.314638452,,,1.200654834,,,,,,,,,
1995-10-31,-0.205128591,,,1.736339957,,,,,,,,,
1995-11-30,4.282288496,,,1.977199161,,,,,,,,,
1995-12-31,1.643340715,,,1.63041984,,,,,,,,,
1996-01-31,3.463413536,,,0.561072224,,,,,,,,,
1996-02-29,0.392896615,,,-2.74829329,,,,,,,,,
1996-03-31,1.812508355,,,-1.139337538,,,,,,,,,
1996-04-30,0.972971728,,,-1.194882043,,,,,,,,,
1996-05-31,2.294281334,,,-0.526227535,,,,,,,,,
1996-06-30,0.905272024,,,1.590180663,,,,,,,,,
1996-07-31,-4.468941791,,,0.105680103,,,,,,,,,
1996-08-31,1.949166816,,,-0.420800759,,,,,,,,,
1996-09-30,5.511062974,,,2.092106237,,,,,,,,,
1996-10-31,3.278448809,,,2.767795742,,,,,,,,,
1996-11-30,7.223476071,,,2.332717988,,,,,,,,,
1996-12-31,-2.311698898,,,-1.755376033,,,,,,,,,
1997-01-31,6.090959235,,,0.040679459,,,,,,,,,2.81
1997-02-28,0.956875864,,,0.006940739,,,,,,,,,3.28
1997-03-31,-4.373933636,,,-1.722305568,,,,,,,,,0.3
1997-04-30,6.301407105,,,1.785943568,,,,,,,,,0.71
1997-05-31,6.239860325,,,1.018551028,,,,,,,,,1.17
1997-06-30,4.221820529,,,1.126910646,,,,,,,,,2.33
1997-07-31,7.920344361,,,3.487189126,,,,,,,,,6.47
1997-08-31,-5.242189139,,,-1.438079202,,,,,,,,,-2.05
1997-09-30,4.809073008,,,1.782632499,,,,,,,,,2.62
1997-10-31,-2.458147932,,,2.101825684,,,,,,,,,-0.45
1997-11-30,3.877905819,,,0.414714602,,,,,,,,,1.21
1997-12-31,1.898672214,,,1.023803677,,,,,,,,,4.14
1998-01-31,1.287862962,,,1.977732013,,,,,,,,,0.88
1998-02-28,6.93724087,,,-0.503236882,,,,,,,,,1.18
1998-03-31,4.8761608,,,0.17033365,,,,,,,,,3.7
1998-04-30,1.273421282,,,0.459476611,,,,,,,,,-0.88
1998-05-31,-2.074726403,,,1.037904022,,,,,,,,,-1.3
1998-06-30,4.25623809,,,1.14004037,,,,,,,,,-1.63
1998-07-31,-1.35027715,,,0.233325568,,,,,,,,,1.12
1998-08-31,-14.117016361,,,3.545661896,,,,,,,,,-8.94
1998-09-30,6.363452125,,,4.680683601,,,,,,,,,-0.27
1998-10-31,8.108106648,,,-0.76921605,,,,,,,,,3.26
1998-11-30,5.572727604,,,-0.725383194,,,,,,,,,1.52
1998-12-31,6.535345545,,,0.618652937,,,,,,,,,3.34
1999-01-31,3.527694084,,,0.434749282,,,,,,,,,7.24
1999-02-28,-3.211655686,,,-3.480238023,,,,,,,,,1.01
1999-03-31,4.152836745,,,0.46891656,,,,,,,,,3.91
1999-04-30,3.793426112,,,0.197802659,,,,,,,,,5.66
1999-05-31,-2.296435124,,,-1.706658195,,,,,,,,,-0.46
1999-06-30,5.548473978,,,-0.368176744,,,,,,,,,4.53
1999-07-31,-3.102190132,,,-0.338702912,,,,,,,,,-0.76
1999-08-31,-0.519774202,,,-0.166558866,,,,,,,,,0.77
1999-09-30,-2.231661109,,,0.994392398,,,,,,,,,1.52
1999-10-31,6.407766969,,,-0.042983568,,,,,,,,,1.85
1999-11-30,1.664233658,,,-0.251860711,,,,,,,,,3.13
1999-12-31,5.715139576,,,-1.123959963,,,,,,,,,7.67
2000-01-31,-4.983660277,,,-0.614127941,,,,,,,,,-0.75
2000-02-29,-1.519059792,,,1.109605863,,,,,,,,,4.03
2000-03-31,9.692977724,,,2.869739125,,,,,,,,,0.91
2000-04-30,-3.517755056,,,-0.614050406,,,,,,,,,-2.97
2000-05-31,-1.523192807,,,0.340269682,,,,,,,,,0.22
2000-06-30,1.919402179,,,2.1103252,,,,,,,,,1.83
2000-07-31,-1.56938301,,,0.741187678,,,,,,,,,-0.45
2000-08-31,6.531468553,,,1.643511776,,,,,,,,,3.43
2000-09-30,-5.480390057,,,0.491368638,,,,,,,,,-0.95
2000-10-31,-0.480400994,,,0.922839602,,,,,,,,,-0.19
2000-11-30,-7.45767381,,,2.5250134,,,,,,,,,0.67
2000-12-31,-0.519573543,,,2.372338257,,,,,,,,,4.65
2001-01-31,4.44393631,,,0.794791645,,,,,,,,,3.58
2001-02-28,-9.538753453,,,1.324804165,,,,,,,,,-0.61
2001-03-31,-5.604118047,,,0.606654311,,,,,,-7.7,0.55,3.13,-0.34
